"menuitem href","menuitem"
"https://www.cobar.org/About-the-CBA","About the CBA"
"https://www.cobar.org/For-Members","For Members"
"https://www.cobar.org/Decisis-Legal-Research","Decisis Legal Research"
"https://www.cobar.org/For-the-Public","For the Public"
"https://cl.cobar.org/","Colorado Lawyer"
"https://www.cobar.org/CBA-Jobs","CBA Jobs"
"https://www.cobar.org/Licensed-Lawyer","Licensed Lawyer"
"https://www.cobar.org/Calendar","Calendar"
"https://www.cobar.org/localbars","Local Bar Associations"
"https://www.cobar.org/Local-Bar-Associations/Specialty-and-Diversity-Bar-Associations","Diversity and Specialty Bar Associations"
"https://www.cobar.org/Insurance-Benefits","Insurance Benefits"
"https://www.cobar.org/Spanish-Help","Spanish Help"
"https://www.cobar.org/Law-Student-Members","Law Student Members"
