"tablescraper-selected-row","tablescraper-selected-row href"
"As adopted by the Colorado Supreme Court
on April 13, 2023,
effective July 1, 2023,",""
"SYNOPSIS",""
"Preamble","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Preamble_A_Licensed_Legal_Paraprofessional_27s_Responsibilities.pdf?ver=rE6IL5LWE_sx4b-i4ee0sg%3d%3d"
"Scope","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/SCOPE.pdf?ver=y2gcJU9c6zyVfjsrbr9a2w%3d%3d"
"Rule 1.0 Terminology","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.0_-_Terminology.pdf?ver=ejjsVBN6GGWdZJhYx9B_Lw%3d%3d"
"Client – LLP Relationship",""
"Rule 1.1 Competence","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.1_-_Competence.pdf?ver=y2gcJU9c6zyVfjsrbr9a2w%3d%3d"
"Rule 1.2 Scope of Representation and Allocation of Authority Between Client and LLP","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/LLP%201.2.pdf?ver=Zpz7sWg4yACtIEY38LaUBA%3d%3d"
"Rule 1.3 Diligence","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.3_-_Diligence.pdf?ver=dxtqJUjUToPgM-20KGngNg%3d%3d"
"Rule 1.4 Communication","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.4_-_Communication.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"Rule 1.5 Fees","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/LLP%201.5.pdf?ver=Zpz7sWg4yACtIEY38LaUBA%3d%3d"
"Rule 1.6 Confidentiality of Information","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.6_-_Confidentiality_of_Information.pdf?ver=piwVQv4MuvLxad7wuJOeyg%3d%3d"
"Rule 1.7 Conflict of Interest: Current Clients","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.7_-_Conflict_of_Interest_Current_Clients.pdf?ver=y2gcJU9c6zyVfjsrbr9a2w%3d%3d"
"Rule 1.8 Conflict of Interest: Current Clients: Specific Rules","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.8_-_Conflict_of_Interest_3B_Current_Clients_3B_Specific_Rules.pdf?ver=Ec9QMNzO_MGsxwvKr0jrEQ%3d%3d"
"Rule 1.9 Duties to Former Clients","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.9_-_Duties_to_Former_Clients.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"Rule 1.10 Imputation of Conflicts of Interest: General Rule","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.10_-_Imputation_of_Conflicts_of_Interest_General_Rule.pdf?ver=9YJSz2_OehK5vSi77bAPgg%3d%3d"
"Rule 1.11 Special Conflicts of Interest for Former and Current Government Officers and Employees","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.11_-_Special_Conflicts_of_Interest_for_Former_and_Current_Government_Officers_and_Employees.pdf?ver=TH9j0mrxug4ULqP4McurpQ%3d%3d"
"Rule 1.12 Former Judge, Arbitrator, Mediator or Other Third-Party Neutral","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.12_-_Former_Judge_2C_Arbitrator_2C_Mediator_or_Other_Third-Party_Neutral.pdf?ver=ejjsVBN6GGWdZJhYx9B_Lw%3d%3d"
"Rule 1.13 Reserved","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.13_-_Reserved.pdf?ver=6TmW6CntrFH4FhLLTWiksw%3d%3d"
"Rule 1.14 Client with Diminished Capacity","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.14_-_Client_with_Diminished_Capacity.pdf?ver=MzmrYUKgjJ_9GZ4ZMRZEpg%3d%3d"
"Rule 1.15 Safekeeping Property in a Firm with Lawyers","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.15_-_Safekeeping_Property_in_a_Firm_with_Lawyers.pdf?ver=y5kn3losoJ5AcpH3u9uc5A%3d%3d"
"Rule 1.15A General Duties of LLPs Practicing in Firms Without Lawyers Regarding Property of Clients and Third Parties","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.15A_-_General_Duties_of_LLPs_Practicing_in_Firms_Without_Lawyers_Regarding_Property_of_Clients_and_Third_Parties.pdf?ver=CuZ3eykOujz1rVH6-8o7BA%3d%3d"
"Rule 1.15B Account Requirements for LLPs Practicing in Firms Without Lawyers","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.15B_-_Account_Requirements_for_LLPs_Practicing_in_Firms_Without_Lawyers.pdf?ver=ejjsVBN6GGWdZJhYx9B_Lw%3d%3d"
"Rule 1.15C Use of Trust Accounts by LLPs Practicing in Firms Without Lawyers","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.15C_-_Use_of_Trust_Accounts_by_LLPs_Practicing_in_Firms_Without_Lawyers.pdf?ver=mEHByXk2bPg4IFJMVz_r6w%3d%3d"
