"h2","h2 href","d-flex","d-files","cardText 2","cardText 3","cardText 4","cardText 5","cardText 6","cardText 7","cardText 8","cardText 9","cardText 10","cardText 11","cardText 12","cardText 13","cardText 14","cardText 15","judge-link","judge-link href","trellis-loading src","judge-hover-footer","judge-follow-link","cardText 16","cardText 17"
"Pinnacol Assurance v. Twohig, Paul et al","https://trellis.law/case/8097/2026cv030035/pinnacol-assurance-v-twohig-paul-et-al","On March 6, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","5 Files","Mar 06, 2026","Judge","Hon. Laura C Makar","Court","Pitkin County","County","Pitkin County, CO","Case #","Practice Area","Torts","Matter Type","General Negligence","Case Last Refreshed","Mar 10, 2026","","","","","","",""
"Deep, David v. Epic Home Management LLC et al","https://trellis.law/case/8097/2026cv030084/deep-david-v-epic-home-management-llc-et-al","On May 13, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Elise Victoria Myer presiding.","6 Files","May 13, 2026","Judge","Hon. Elise Victoria Myer","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","May 15, 2026","","","","","","","","","","",""
"Setterfield Realtors Inc v. 420 W Main LLC","https://trellis.law/case/8097/2026cv030009/setterfield-realtors-inc-v-420-w-main-llc","On January 20, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Elise Victoria Myer presiding.","3 Files","Jan 20, 2026","Judge","Hon. Elise Victoria Myer","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jan 22, 2026","Practice Area","Commercial","Matter Type","Breach of Contract","","","","","","",""
"Ww 184 LLC v. Lee, James Spencer et al","https://trellis.law/case/8097/2026cv030065/ww-184-llc-v-lee-james-spencer-et-al","On April 16, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","4 Files","Apr 16, 2026","Judge","Hon. Laura C Makar","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Apr 17, 2026","Practice Area","Property","Matter Type","Quiet Title","","","","","","",""
"U S Bank National Association v. Hewitt, Elizabeth A","https://trellis.law/case/8097/2026cv030047/u-s-bank-national-association-v-hewitt-elizabeth-a","On March 25, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","4 Files","Mar 25, 2026","Judge","Hon. Laura C Makar","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Mar 27, 2026","Practice Area","Creditor","Matter Type","Consumer Debt","","","","","","",""
"Libby, Russell et al v. Coleman Construction LLC et al","https://trellis.law/case/8097/2026cv030018/libby-russell-et-al-v-coleman-construction-llc-et-al","On February 13, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Susan Ryan presiding.","5 Files","Feb 13, 2026","Judge","Hon. Susan Ryan","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Feb 18, 2026","Practice Area","Commercial","Matter Type","Breach of Contract","","","","","","",""
"Koehne, Cheryl J et al v. Elias, Charles et al","https://trellis.law/case/8097/2026cv030000/koehne-cheryl-j-et-al-v-elias-charles-et-al","On January 1, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Alexander Haynes presiding.","4 Files","Jan 01, 2026","Judge","Hon. Alexander Haynes","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jan 03, 2026","Practice Area","Torts","Matter Type","General Negligence","","","","","","",""
"Tiel Trust Fbo Paula T Douglass v. 42400 Highway 82 Acquisition LLC","https://trellis.law/case/8097/2026cv030006/tiel-trust-fbo-paula-t-douglass-v-42400-highway-82-acquisition-llc","On January 14, 2026 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Alexander Haynes presiding.","2 Files","Jan 14, 2026","Judge","Hon. Alexander Haynes","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jan 16, 2026","Practice Area","Civil","Matter Type","Declaratory Action","","","","","","",""
"Winchester, Robert et al v. State Farm Fire And Casualty Company","https://trellis.law/case/8097/2025cv030001/winchester-robert-et-al-v-state-farm-fire-casualty-company","On January 13, 2025 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Denise K. Lynch presiding.","4 Files","Jan 13, 2025","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jan 21, 2025","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Denise K. Lynch","https://trellis.law/judge/denise.k.lynch?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Denise K. Lynch","",""
"Castle Creek Investors Inc v. Climax Mining And Milling Company Inc et al","https://trellis.law/case/8097/2025cv030017/castle-creek-investors-inc-v-climax-mining-milling-company-inc-et-al","On February 28, 2025 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","9 Files","Feb 28, 2025","Judge","Hon. Laura C Makar","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Mar 05, 2025","","","","","","","","","","",""
