name,neuro_event_type,other_event_types,n_subjects,n_timelines,n_hours,n_phoneme_events,n_unique_phoneme_events,n_sentence_events,n_unique_sentence_events,n_sound_events,n_unique_sound_events,n_word_events,n_unique_word_events,n_sleepstage_events,n_unique_sleepstage_events,n_eyestate_events,n_unique_eyestate_events,n_image_events,n_unique_image_events,n_stimulus_events,n_unique_stimulus_events,n_artifact_events,n_unique_artifact_events,n_epileptiformactivity_events,n_unique_epileptiformactivity_events,n_imaginedspeech_events
Broderick2019,Eeg,"['Sound', 'Sentence', 'Word', 'Phoneme']",19,380,18.924131944444444,674120.0,,13300.0,,380.0,,218880.0,,,,,,,,,,,,,,
Ghassemi2018,Eeg,[],1059,1983,14175.693079166665,,,,,,,,,,,,,,,,,,,,,
Kemp2000,Eeg,['SleepStage'],78,153,3378.749575,,,,,,,,,23409.0,,,,,,,,,,,,
Khan2022,Eeg,[],2417,2417,339.71942083333334,,,,,,,,,,,,,,,,,,,,,
Nieuwland2018,Eeg,"['Sentence', 'Word']",295,335,213.7432138888889,,,53265.0,,,,818740.0,,,,,,,,,,,,,,
Vandijk2022,Eeg,['EyeState'],1274,2692,89.73632444444445,,,,,,,,,,,2692.0,,,,,,,,,,
Xu2024,Eeg,['Image'],8,13,12.544992947048613,,,,,,,,,,,,,49855.0,,,,,,,,
Brennan2019,Eeg,"['Sound', 'Sentence', 'Word']",33,33,6.6682733333333335,,,2772.0,,396.0,,70257.0,,,,,,,,,,,,,,
Gifford2021,Eeg,['Image'],10,80,121.12353333333333,,,,,,,,,,,,,1336800.0,,,,,,,,
Grootswagers2022,Eeg,['Image'],50,50,42.163041666666665,,,,,,,,,,,,,1112400.0,,,,,,,,
Grootswagers2024,Eeg,"['Image', 'Stimulus']",16,16,10.92764,,,,,,,,,,,,,327680.0,,1310720.0,,,,,,
TestEeg2024,Eeg,['Word'],3,3,0.083325,,,,,,,30.0,,,,,,,,,,,,,,
Accou2023,Eeg,"['Sound', 'Sentence', 'Word']",80,598,171.0942822265625,,,127374.0,,598.0,,1422642.0,,,,,,,,,,,,,,
Babayan2019,Eeg,['EyeState'],215,215,61.03608722222222,,,,,,,,,,,3440.0,,,,,,,,,,
Schalk2009,Eeg,['EyeState'],109,1526,25.85457291666667,,,,,,,,,,,1526.0,,,,,,,,,,
Obeid2016,Eeg,[],14987,69652,24474.863311631947,,,,,,,,,,,,,,,,,,,,,
Lopez2017,Eeg,[],2329,2993,1011.7969522222223,,,,,,,,,,,,,,,,,,,,,
Hamid2020,Eeg,['Artifact'],213,310,124.1718777777778,,,,,,,,,,,,,,,,,7440.0,,,,
Veloso2017,Eeg,[],200,2298,774.9341133333334,,,,,,,,,,,,,,,,,,,,,
Harati2015,Eeg,"['Artifact', 'EpileptiformActivity']",370,518,176.40720222222225,,,,,,,,,,,,,,,,,19166.0,,42476.0,,
VonWeltin2017,Eeg,[],38,112,44.862097777777784,,,,,,,,,,,,,,,,,,,,,
Shah2018,Eeg,[],675,7361,3578.2557100000004,,,,,,,,,,,,,,,,,,,,,
Zhang2024,Eeg,"['Sentence', 'ImaginedSpeech']",3,132,81.47326,,,26400.0,,,,,,,,,,,,,,,,,,26400.0
Wang2025Eeg,Eeg,[],25,25,19.826652777777777,,,,,,,,,,,,,,,,,,,,,
