name,neuro_event_type,other_event_types,n_subjects,n_timelines,n_hours,n_image_events,n_unique_image_events,n_word_events,n_unique_word_events,n_video_events,n_unique_video_events,n_sound_events,n_unique_sound_events,n_text_events,n_unique_text_events,n_phoneme_events,n_unique_phoneme_events,n_sentence_events,n_unique_sentence_events,n_stimulus_events,n_unique_stimulus_events
Allen2022Bold,Fmri,['Image'],8,3408,284.75733333333335,214704.0,,,,,,,,,,,,,,,
Chang2019,Fmri,['Image'],4,510,54.96666666666667,18870.0,,,,,,,,,,,,,,,
Hebart2023Bold,Fmri,['Image'],3,360,42.6,29520.0,,,,,,,,,,,,,,,
Shen2020,Fmri,['Image'],3,492,65.32666666666667,27060.0,,,,,,,,,,,,,,,
TestFmri2023,Fmri,['Word'],3,3,0.016666666666666666,,,30.0,,,,,,,,,,,,,
Wen2017,Fmri,['Video'],3,258,35.11666666666667,,,,,258.0,,,,,,,,,,,
Li2022,Fmri,"['Word', 'Sound', 'Text']",112,1008,173.04,,,1626912.0,,,,1008.0,,1008.0,,,,,,,
Nastase2020,Fmri,"['Text', 'Sound', 'Sentence', 'Phoneme', 'Word']",321,678,293.8,,,2328930.0,,,,678.0,,678.0,,7538682.0,,337644.0,,,
Hebart2023,Fmri,['Image'],3,29520,8.2,29520.0,,,,,,,,,,,,,,,
Algonauts2025,Fmri,"['Video', 'Text', 'Word']",4,1588,389.09528888888883,,,2694836.0,,1588.0,,,,1588.0,,,,,,,
Lebel2023Bold,Fmri,"['Sound', 'Phoneme', 'Word']",8,432,87.12,,,939168.0,,,,432.0,,,,3033936.0,,,,,
LebelProcessed2023Bold,Fmri,"['Sound', 'Phoneme', 'Word']",8,386,51.681111111111115,,,638830.0,,,,386.0,,,,2000638.0,,,,,
Allen2022Beta,Fmri,['Image'],8,213000,236.66666666666666,213000.0,,,,,,,,,,,,,,,
Bom2024,Fmri,['Stimulus'],88,206,15.747555555555554,,,,,,,,,,,,,,,1854.0,
Singer2023Bold,Fmri,[],29,348,36.395,,,,,,,,,,,,,,,,
Wang2025Bold,Fmri,[],26,130,83.43111111111111,,,,,,,,,,,,,,,,
Aliko2020,Fmri,"['Stimulus', 'Word']",86,86,130.67222222222222,,,711134.0,,,,,,,,,,,,40162.0,
