source_url,source_url_citation,page_title,page_title_citation,breadcrumb_path_citation,section_heading,section_heading_citation,content_body,content_body_citation,crawl_depth,crawl_depth_citation,image_source_urls,image_source_urls_citation,breadcrumb_path,table_data_raw,table_data_raw_citation
https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Troubleshoot a pairing issue,https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Step 3: Reset your Google Pixel Buds,https://support.google.com/googlepixelbuds/answer/10964222,"Resetting your Pixel Buds and their case will reset all settings. This includes the device name and your preferences for enabling and disabling features. For Pixel Buds Pro 2, this also resets the ability to locate them using Find Hub. To reset your Pixel Buds:

1. Go to your device’s Bluetooth settings and forget Google Pixel Buds.
2. Plug the charging case into a power source with a USB-C® cable.
3. Make sure the Pixel Buds are seated within the charging case and leave the charging case open.

**Tip:** If buds aren't placed correctly in the charging case, the reset process won't begin.

![Store & charge your buds](https://storage.googleapis.com/support-kms-prod/fkCPBCOVWFBKVTOvTwtZCmRfA4qyhwpdDbkL)

4. On the back of the case, press and hold the pairing button for 30 seconds. Leave the charging case open the entire time.
5. When the earbuds status light stops bouncing and turns off, let go of the pairing button.
   - For Google Pixel Buds, this is the light inside the opened case.
6. Check the earbuds status lights.
   - **During the reset process:** The status light will blink orange and white.
   - **After the reset process:** The status light will bounce white again. This means your Pixel Buds have been reset and are ready for pairing with your devices.

**Tip:** Pixel Buds Pro 2 or 2a acquired from a previous owner or a reseller need to be reset to transfer ownership of the Pixel Buds to you. This is necessary for the Find Hub network to find or track your Pixel Buds Pr",https://support.google.com/googlepixelbuds/answer/10964222,1,https://support.google.com/googlepixelbuds/answer/10964222,,,,,
https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Troubleshoot a pairing issue,https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Pixel Buds won't enter pairing mode,https://support.google.com/googlepixelbuds/answer/10964222,"1. Ensure the charging case has power by plugging it in using the included USB-C cable.
2. Place the Pixel Buds in the charging case with the lid closed for 10 minutes.
3. Remove the Pixel Buds from the charging case for at least 3 seconds.
4. Replace the Pixel Buds back in the charging case. Match the L & R indicators of the Pixel Buds to the charging case magnetized pockets, a green LED ![](https://lh3.googleusercontent.com/JH-ueU_mI5cElLnwBm3TiRL68Zd22ZxBgGPXUlZrY6A9plXv6PDYxx6GsnYEmT5NIRY=h36) will appear, and close the case.
5. Open the charging case next to your phone with Google Pixel Buds still inside.
6. If there's one white LED pulsing ![](https://lh3.googleusercontent.com/5n_h97RJSNUWJBm3DZPZJXAO72nie7-iiS0P02xE4_zGdqu3jRJ-trgOcIZHgdc0KA=h36)**,** your device is ready to pair.
7. Find a pop-up notification on your phone that'll take you through the rest of the set up.",https://support.google.com/googlepixelbuds/answer/10964222,1,https://support.google.com/googlepixelbuds/answer/10964222,,,,,
https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Troubleshoot a pairing issue,https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Reset your charging case,https://support.google.com/googlepixelbuds/answer/10964222,"1. Remove the Pixel Buds from the charging case.
2. Press and hold the charging case button for 40 seconds. Upon initial button press, white LEDs ![](https://lh3.googleusercontent.com/rTWRLumHzH80AdWaZKVIsshIfdel8ynbKBHuaOLIFOSrE3kpJ7Pn2_IlMjPVzaFhRn4=h36) will appear.

![Button located above right Pixel Bud in charging case](https://lh3.googleusercontent.com/CDHWBcbm6-8Fc71KdMhzepHkxgRkCqwQAfTA-ox1OqPaCFe6zjosjsgT4JujK5Yo_3yY=w600)
3. After 7 seconds, the LEDs will turn off. Continue to press the charging case button.

![](https://lh3.googleusercontent.com/siLfAfNPluGmiCPfMOhyRCBzcDfChSBGnJ4srQiTttASxQfYSEQx27sWlOKJ8ziWmyBX=w600)
4. At the end of 40 seconds, the leftmost LED will dimly flash amber ![](https://lh3.googleusercontent.com/Tt1k2dogoQztmEQ-woN9Qvnwxseqj5KbDcBfKf1bi6x4SA7pHafidftk9TO6grGlk1Q=w64) 7 times.

After resetting your charging case, the Pixel Buds will respond while inside the case. This includes:

- 
- 
-",https://support.google.com/googlepixelbuds/answer/10964222,1,https://support.google.com/googlepixelbuds/answer/10964222,,,,,
https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Troubleshoot a pairing issue,https://support.google.com/googlepixelbuds/answer/10964222,https://support.google.com/googlepixelbuds/answer/10964222,Re-pair your Pixel Buds with your phone,https://support.google.com/googlepixelbuds/answer/10964222,"1. While the charging case shows a green LED ![](https://lh3.googleusercontent.com/JH-ueU_mI5cElLnwBm3TiRL68Zd22ZxBgGPXUlZrY6A9plXv6PDYxx6GsnYEmT5NIRY=h36), hold the case button for 3 seconds.
2. If you see one white LED pulsing ![](https://lh3.googleusercontent.com/5n_h97RJSNUWJBm3DZPZJXAO72nie7-iiS0P02xE4_zGdqu3jRJ-trgOcIZHgdc0KA=h36), your device is ready to pair.
3. Find a pop-up notification on your phone that'll take you through the rest of the setup.
4. On certain Android devices, you may need to find your Google Pixel Buds in the Bluetooth settings menu and add them as a new device.

Google, Pixel, G logo, and related logos and marks are trademarks of Google LLC.

USB-C® is a registered trademark of USB Implementers Forum.

The Bluetooth® word mark and logo are registered trademarks owned by Bluetooth SIG, Inc.

Give feedback about this article

Choose a section to give feedback on",https://support.google.com/googlepixelbuds/answer/10964222,1,https://support.google.com/googlepixelbuds/answer/10964222,,,,,
https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Fix Pixel Buds that won't charge,https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Step 3: Charge your Pixel Buds for at least 30 minutes,https://support.google.com/googlepixelbuds/answer/16671581,"1. **Plug in the case:** While your earbuds are inside, connect the charging case to a power source.

2. **Charge for 30 minutes:** Let your Pixel Buds charge for at least 30 minutes before trying to pair them again.

3. **Pair your earbuds:** After charging, follow the steps to pair your Pixel Buds with your device. .",https://support.google.com/googlepixelbuds/answer/16671581,1,https://support.google.com/googlepixelbuds/answer/16671581,,,,,
https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Fix Pixel Buds that won't charge,https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Charge your Google Pixel Buds,https://support.google.com/googlepixelbuds/answer/16671581,"1. Match the L and R indicators of the Pixel Buds to the charging case magnetized pockets.

2. Once they're in, press down to make sure the charging pins are firmly in place. After placing your earbuds in their pockets, secure the cord by wrapping it around the rim of the charging case. This helps you carry your Pixel Buds while they're charging.

![](https://lh3.googleusercontent.com/YBk0M3Zl7G31ZDrs-Ssmx-9pRvJsCedwDYRFbnpde0d9X38jmgqbuTlow-SQLjE6bA=w600)

3. A green LED light appears, indicating that your Pixel Buds are charging.

![](https://lh3.googleusercontent.com/zlhFpUqAVik0U3JsVKYAVyOLEkvq5DTbEKyz4rfhcs7LqPkThlUPgwtT5CotRzbX_KI=w600)

**Tip:** The charging case must be closed for your Pixel Buds to charge properly.",https://support.google.com/googlepixelbuds/answer/16671581,1,https://support.google.com/googlepixelbuds/answer/16671581,,,,,
https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Fix Pixel Buds that won't charge,https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Charge your Google Pixel Buds case,https://support.google.com/googlepixelbuds/answer/16671581,"Plug the included USB-C to USB-A cable into a power source. It will take about 1.5 hours to fully charge the case from 0% to 100%.

![](https://lh3.googleusercontent.com/VdAJEAtHzNrd7vymNxPKGCig7L63MO7J48a7h0KCUd5wTZytViL355pWknuqL1Dllg=w320)",https://support.google.com/googlepixelbuds/answer/16671581,1,https://support.google.com/googlepixelbuds/answer/16671581,,,,,
https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Fix Pixel Buds that won't charge,https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Learn when to charge your Pixel Buds,https://support.google.com/googlepixelbuds/answer/16671581,"Get up to 5 hours of listening time on a single charge. When you're running low, simply place your Pixel Buds back in their charging case.

A fully charged case can recharge your earbuds multiple times, giving you up to 24 hours of total listening time.

Google Pixel Buds battery performance statistics are approximate and are based on listening time, audio control, and other factors. Actual results may vary. The case must be sufficiently charged. Testing conducted September 2017 on pre-production Pixel Buds connected to a pre-production Pixel 2 phone. Total listening times are approximate and are measured using fully charged Google Pixel Buds and a fully charged case for the first Google Pixel Buds recharge cycle. Actual results may vary. Google Pixel Buds battery testing conducted in September 2017 on pre-production Pixel Buds connected to a pre-production Pixel 2 phone.",https://support.google.com/googlepixelbuds/answer/16671581,1,https://support.google.com/googlepixelbuds/answer/16671581,,,,,
https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Fix Pixel Buds that won't charge,https://support.google.com/googlepixelbuds/answer/16671581,https://support.google.com/googlepixelbuds/answer/16671581,Check the battery level of your Pixel Buds,https://support.google.com/googlepixelbuds/answer/16671581,"**Bluetooth settings (Requires a Pixel 2 or later)**

![](https://lh3.googleusercontent.com/YY9OizY_W7fkVM_AQ0PJBO3C-EAus-94T-MdHzCQAhf23Sak2ZYEyMo1PqHsl6lp9w=w700)

**Headphones settings in Google Assistant**

1. Press and hold the center button on your phone to invoke your Google Assistant.

![](https://lh3.googleusercontent.com/K8RfmjwmxqM1KoQM98N9DElsqTzAaYLpeSrQCmkRp5iIckz-k01Ze5berqrZQL55Vg=w700)

2. Tap on Headphones settings ![](https://lh3.googleusercontent.com/gvZNGtKIrXkYO92cPB8HbjQ3Tfjn4Nq7Hyg9YDTKoPpzDgsQKSZqMyKVbxaeYxfJO6E=w18).

![](https://lh3.googleusercontent.com/gXUbkvdQHlJMyg8i8CH2AvBmPRlceV1A7pYabHZlekoP89GAX_HTh2X6FAbq35xK9TU=w700)

3. Your device settings display the Pixel Buds battery level.

Give feedback about this article

Choose a section to give feedback on",https://support.google.com/googlepixelbuds/answer/16671581,1,https://support.google.com/googlepixelbuds/answer/16671581,,,,,
https://support.google.com/googlepixelbuds/answer/9991816,https://support.google.com/googlepixelbuds/answer/9991816,Troubleshoot connectivity issues,https://support.google.com/googlepixelbuds/answer/9991816,https://support.google.com/googlepixelbuds/answer/9991816,Check the connection between your Pixel Buds and your host device and update your firmware,https://support.google.com/googlepixelbuds/answer/9991816,"1. Confirm that your Pixel Buds and charging case .
2. Confirm that your source device's (phone/laptop/tablet) Bluetooth® is on, and that your Pixel Buds are close by and .
3. On your source device (may be your phone or laptop), turn Bluetooth off, then turn it back on.
4. Wait for the Pixel Buds to automatically reconnect with your previously connected source device. This can take several seconds. If necessary, please make sure your source device is connected by selecting ""Pixel Buds"" from the source device's Bluetooth menu.
5. Make sure you have the .",https://support.google.com/googlepixelbuds/answer/9991816,1,https://support.google.com/googlepixelbuds/answer/9991816,,,,,
